,Unnamed: 0,Day,Month,Cycle,Location,Fleet,Count,Fleet_label,N_Fleet_type
0,0,1,July,2,YUL,F670|F192|F546,40,F347,F-347
1,0,1,July,2,YUL,F295,19,F295,F-295
2,0,1,July,2,YUL,F690,4,F690,F-690
3,0,1,July,2,YUL,F855,14,F855,F-855
4,0,1,July,2,YUL,F630,22,F630,F-630
5,0,1,July,2,YUL,F231,10,F231,F-231
6,0,1,July,2,YUL,F286,16,F286,F-286
7,0,1,July,2,YYT,F670|F192|F546,2,F347,F-347
8,0,1,July,2,YYT,F295,0,F295,F-295
9,0,1,July,2,YYT,F690,0,F690,F-690
10,0,1,July,2,YYT,F855,0,F855,F-855
11,0,1,July,2,YYT,F630,0,F630,F-630
12,0,1,July,2,YYT,F231,0,F231,F-231
13,0,1,July,2,YYT,F286,1,F286,F-286
14,0,1,July,2,YOW,F670|F192|F546,2,F347,F-347
15,0,1,July,2,YOW,F295,1,F295,F-295
16,0,1,July,2,YOW,F690,0,F690,F-690
17,0,1,July,2,YOW,F855,0,F855,F-855
18,0,1,July,2,YOW,F630,0,F630,F-630
19,0,1,July,2,YOW,F231,0,F231,F-231
20,0,1,July,2,YOW,F286,1,F286,F-286
21,0,1,July,2,YHZ,F670|F192|F546,3,F347,F-347
22,0,1,July,2,YHZ,F295,1,F295,F-295
23,0,1,July,2,YHZ,F690,0,F690,F-690
24,0,1,July,2,YHZ,F855,0,F855,F-855
25,0,1,July,2,YHZ,F630,0,F630,F-630
26,0,1,July,2,YHZ,F231,0,F231,F-231
27,0,1,July,2,YHZ,F286,1,F286,F-286
28,0,1,July,2,YQB,F670|F192|F546,1,F347,F-347
29,0,1,July,2,YQB,F295,0,F295,F-295
30,0,1,July,2,YQB,F690,0,F690,F-690
31,0,1,July,2,YQB,F855,0,F855,F-855
32,0,1,July,2,YQB,F630,0,F630,F-630
33,0,1,July,2,YQB,F231,0,F231,F-231
34,0,1,July,2,YQB,F286,1,F286,F-286
35,0,1,July,2,YYZ,F670|F192|F546,92,F347,F-347
36,0,1,July,2,YYZ,F295,50,F295,F-295
37,0,1,July,2,YYZ,F690,15,F690,F-690
38,0,1,July,2,YYZ,F855,36,F855,F-855
39,0,1,July,2,YYZ,F630,50,F630,F-630
40,0,1,July,2,YYZ,F231,32,F231,F-231
41,0,1,July,2,YYZ,F286,35,F286,F-286
42,0,1,July,2,YVR,F670|F192|F546,36,F347,F-347
43,0,1,July,2,YVR,F295,18,F295,F-295
44,0,1,July,2,YVR,F690,4,F690,F-690
45,0,1,July,2,YVR,F855,11,F855,F-855
46,0,1,July,2,YVR,F630,17,F630,F-630
47,0,1,July,2,YVR,F231,10,F231,F-231
48,0,1,July,2,YVR,F286,14,F286,F-286
49,0,1,July,2,YYC,F670|F192|F546,6,F347,F-347
50,0,1,July,2,YYC,F295,2,F295,F-295
51,0,1,July,2,YYC,F690,0,F690,F-690
52,0,1,July,2,YYC,F855,2,F855,F-855
53,0,1,July,2,YYC,F630,4,F630,F-630
54,0,1,July,2,YYC,F231,3,F231,F-231
55,0,1,July,2,YYC,F286,3,F286,F-286
56,0,1,July,2,YEG,F670|F192|F546,2,F347,F-347
57,0,1,July,2,YEG,F295,2,F295,F-295
58,0,1,July,2,YEG,F690,0,F690,F-690
59,0,1,July,2,YEG,F855,0,F855,F-855
60,0,1,July,2,YEG,F630,0,F630,F-630
61,0,1,July,2,YEG,F231,0,F231,F-231
62,0,1,July,2,YEG,F286,1,F286,F-286
63,0,1,July,2,YWG,F670|F192|F546,2,F347,F-347
64,0,1,July,2,YWG,F295,1,F295,F-295
65,0,1,July,2,YWG,F690,0,F690,F-690
66,0,1,July,2,YWG,F855,0,F855,F-855
67,0,1,July,2,YWG,F630,0,F630,F-630
68,0,1,July,2,YWG,F231,0,F231,F-231
69,0,1,July,2,YWG,F286,0,F286,F-286
70,1,2,July,2,YUL,F670|F192|F546,40,F347,F-347
71,1,2,July,2,YUL,F295,19,F295,F-295
72,1,2,July,2,YUL,F690,4,F690,F-690
73,1,2,July,2,YUL,F855,14,F855,F-855
74,1,2,July,2,YUL,F630,22,F630,F-630
75,1,2,July,2,YUL,F231,10,F231,F-231
76,1,2,July,2,YUL,F286,16,F286,F-286
77,1,2,July,2,YYT,F670|F192|F546,2,F347,F-347
78,1,2,July,2,YYT,F295,0,F295,F-295
79,1,2,July,2,YYT,F690,0,F690,F-690
80,1,2,July,2,YYT,F855,0,F855,F-855
81,1,2,July,2,YYT,F630,0,F630,F-630
82,1,2,July,2,YYT,F231,0,F231,F-231
83,1,2,July,2,YYT,F286,1,F286,F-286
84,1,2,July,2,YOW,F670|F192|F546,2,F347,F-347
85,1,2,July,2,YOW,F295,1,F295,F-295
86,1,2,July,2,YOW,F690,0,F690,F-690
87,1,2,July,2,YOW,F855,0,F855,F-855
88,1,2,July,2,YOW,F630,0,F630,F-630
89,1,2,July,2,YOW,F231,0,F231,F-231
90,1,2,July,2,YOW,F286,1,F286,F-286
91,1,2,July,2,YHZ,F670|F192|F546,3,F347,F-347
92,1,2,July,2,YHZ,F295,1,F295,F-295
93,1,2,July,2,YHZ,F690,0,F690,F-690
94,1,2,July,2,YHZ,F855,0,F855,F-855
95,1,2,July,2,YHZ,F630,0,F630,F-630
96,1,2,July,2,YHZ,F231,0,F231,F-231
97,1,2,July,2,YHZ,F286,1,F286,F-286
98,1,2,July,2,YQB,F670|F192|F546,1,F347,F-347
99,1,2,July,2,YQB,F295,0,F295,F-295
100,1,2,July,2,YQB,F690,0,F690,F-690
101,1,2,July,2,YQB,F855,0,F855,F-855
102,1,2,July,2,YQB,F630,0,F630,F-630
103,1,2,July,2,YQB,F231,0,F231,F-231
104,1,2,July,2,YQB,F286,1,F286,F-286
105,1,2,July,2,YYZ,F670|F192|F546,92,F347,F-347
106,1,2,July,2,YYZ,F295,50,F295,F-295
107,1,2,July,2,YYZ,F690,15,F690,F-690
108,1,2,July,2,YYZ,F855,36,F855,F-855
109,1,2,July,2,YYZ,F630,50,F630,F-630
110,1,2,July,2,YYZ,F231,32,F231,F-231
111,1,2,July,2,YYZ,F286,35,F286,F-286
112,1,2,July,2,YVR,F670|F192|F546,36,F347,F-347
113,1,2,July,2,YVR,F295,18,F295,F-295
114,1,2,July,2,YVR,F690,4,F690,F-690
115,1,2,July,2,YVR,F855,11,F855,F-855
116,1,2,July,2,YVR,F630,17,F630,F-630
117,1,2,July,2,YVR,F231,10,F231,F-231
118,1,2,July,2,YVR,F286,14,F286,F-286
119,1,2,July,2,YYC,F670|F192|F546,6,F347,F-347
120,1,2,July,2,YYC,F295,2,F295,F-295
121,1,2,July,2,YYC,F690,0,F690,F-690
122,1,2,July,2,YYC,F855,2,F855,F-855
123,1,2,July,2,YYC,F630,4,F630,F-630
124,1,2,July,2,YYC,F231,3,F231,F-231
125,1,2,July,2,YYC,F286,3,F286,F-286
126,1,2,July,2,YEG,F670|F192|F546,2,F347,F-347
127,1,2,July,2,YEG,F295,2,F295,F-295
128,1,2,July,2,YEG,F690,0,F690,F-690
129,1,2,July,2,YEG,F855,0,F855,F-855
130,1,2,July,2,YEG,F630,0,F630,F-630
131,1,2,July,2,YEG,F231,0,F231,F-231
132,1,2,July,2,YEG,F286,1,F286,F-286
133,1,2,July,2,YWG,F670|F192|F546,2,F347,F-347
134,1,2,July,2,YWG,F295,1,F295,F-295
135,1,2,July,2,YWG,F690,0,F690,F-690
136,1,2,July,2,YWG,F855,0,F855,F-855
137,1,2,July,2,YWG,F630,0,F630,F-630
138,1,2,July,2,YWG,F231,0,F231,F-231
139,1,2,July,2,YWG,F286,0,F286,F-286
140,2,3,July,2,YUL,F670|F192|F546,40,F347,F-347
141,2,3,July,2,YUL,F295,19,F295,F-295
142,2,3,July,2,YUL,F690,4,F690,F-690
143,2,3,July,2,YUL,F855,14,F855,F-855
144,2,3,July,2,YUL,F630,22,F630,F-630
145,2,3,July,2,YUL,F231,10,F231,F-231
146,2,3,July,2,YUL,F286,16,F286,F-286
147,2,3,July,2,YYT,F670|F192|F546,2,F347,F-347
148,2,3,July,2,YYT,F295,0,F295,F-295
149,2,3,July,2,YYT,F690,0,F690,F-690
150,2,3,July,2,YYT,F855,0,F855,F-855
151,2,3,July,2,YYT,F630,0,F630,F-630
152,2,3,July,2,YYT,F231,0,F231,F-231
153,2,3,July,2,YYT,F286,1,F286,F-286
154,2,3,July,2,YOW,F670|F192|F546,2,F347,F-347
155,2,3,July,2,YOW,F295,1,F295,F-295
156,2,3,July,2,YOW,F690,0,F690,F-690
157,2,3,July,2,YOW,F855,0,F855,F-855
158,2,3,July,2,YOW,F630,0,F630,F-630
159,2,3,July,2,YOW,F231,0,F231,F-231
160,2,3,July,2,YOW,F286,1,F286,F-286
161,2,3,July,2,YHZ,F670|F192|F546,3,F347,F-347
162,2,3,July,2,YHZ,F295,1,F295,F-295
163,2,3,July,2,YHZ,F690,0,F690,F-690
164,2,3,July,2,YHZ,F855,0,F855,F-855
165,2,3,July,2,YHZ,F630,0,F630,F-630
166,2,3,July,2,YHZ,F231,0,F231,F-231
167,2,3,July,2,YHZ,F286,1,F286,F-286
168,2,3,July,2,YQB,F670|F192|F546,1,F347,F-347
169,2,3,July,2,YQB,F295,0,F295,F-295
170,2,3,July,2,YQB,F690,0,F690,F-690
171,2,3,July,2,YQB,F855,0,F855,F-855
172,2,3,July,2,YQB,F630,0,F630,F-630
173,2,3,July,2,YQB,F231,0,F231,F-231
